Event,Date,Venue,City,State/Province,Country,Attendance,EVENT #,PPV,Explanation,Month,Year,Extra Notes
UFC 166: Velasquez vs. Dos Santos 3,10/19/2013,Toyota Center,Houston, Texas, U.S.,17238,UFC 166,330000,,October,2013,
UFC 167: St-Pierre vs. Hendricks,11/16/2013,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14856,UFC 167,630000,,November,2013,GSP RETIRES
UFC 168: Weidman vs. Silva 2,12/28/2013,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,15650,UFC 168,1025000,,December,2013,ANDERSON BREAKS HIS LEG
UFC 169: Barão vs. Faber II,2/1/2014,Prudential Center,Newark, New Jersey, U.S.,14308,UFC 169,230000,,February,2014,
UFC 170: Rousey vs. McMann,2/22/2014,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10217,UFC 170,350000,,February,2014,
UFC 171: Hendricks vs. Lawler,3/15/2014,American Airlines Center,Dallas, Texas, U.S.,19324,UFC 171,300000,,March,2014,
UFC 172: Jones vs. Teixeira,4/26/2014,Baltimore Arena,Baltimore, Maryland, U.S.,13485,UFC 172,350000,,April,2014,
UFC 173: Barão vs. Dillashaw,5/24/2014,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,11036,UFC 173,215000,,May,2014,
UFC 174: Johnson vs. Bagautinov,6/14/2014,Rogers Arena,Vancouver, British Columbia, Canada,13506,UFC 174,115000,,June,2014,
UFC 175: Weidman vs. Machida,7/5/2014,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10088,UFC 175,545000,,July,2014,
UFC 176: Aldo vs. Mendes II,8/2/2014,Staples Center,Los Angeles,Califoria,U.S.,Not Available,UFC 176,Not Available,Cancelled,August,2014,
UFC 177: Dillashaw vs. Soto,8/30/2014,Sleep Train Arena,Sacramento, California, U.S.,11100,UFC 177,125000,,August,2014,
UFC 178: Johnson vs. Cariaso,9/27/2014,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,10544,UFC 178,205000,,September,2014,
