#,Event,Date,Venue,City,State/Province,Country,Attendance,
157,UFC 117: Silva vs. Sonnen,8/7/2010,Oracle Arena,Oakland, California, U.S.,12971,
158,UFC 118: Edgar vs. Penn 2,8/28/2010,TD Garden,Boston, Massachusetts, U.S.,14168,
159,UFC Fight Night: Marquardt vs. Palhares,9/15/2010,Frank Erwin Center,Austin, Texas, U.S.,7724,
160,UFC 119: Mir vs. Cro Cop,9/25/2010,Conseco Fieldhouse,Indianapolis, Indiana, U.S.,15811,
161,UFC 120: Bisping vs. Akiyama,10/16/2010,The O2 arena,London, England, U.K.,17133,
162,UFC 121: Lesnar vs. Velasquez,10/23/2010,Honda Center,Anaheim, California, U.S.,14856,
163,UFC 122: Marquardt vs. Okami,11/13/2010,König Pilsener Arena,Oberhausen,N/A, Germany,8421,
164,UFC 123: Rampage vs. Machida,11/20/2010,The Palace of Auburn Hills,Auburn Hills, Michigan, U.S.,16404,
165,The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,12/4/2010,Palms Casino Resort,Las Vegas, Nevada, U.S.,1903,
166,UFC 124: St-Pierre vs. Koscheck 2,12/11/2010,Bell Centre,Montreal, Quebec, Canada,23152,
167,UFC 125: Resolution,1/1/2011,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12874,
168,UFC: Fight for the Troops 2,1/22/2011,Fort Hood,Fort Hood, Texas, U.S.,3200,
169,UFC 126: Silva vs. Belfort,2/5/2011,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10893,
170,UFC 127: Penn vs. Fitch,2/27/2011,Acer Arena,Sydney,N/A, Australia,18186,
171,UFC Live: Sanchez vs. Kampmann,3/3/2011,KFC Yum! Center,Louisville, Kentucky, U.S.,8319,
172,UFC 128: Shogun vs. Jones,3/19/2011,Prudential Center,Newark, New Jersey, U.S.,12619,
173,UFC Fight Night: Nogueira vs. Davis,3/26/2011,KeyArena,Seattle, Washington, U.S.,13741,
174,UFC 129: St-Pierre vs. Shields,4/30/2011,Rogers Centre,Toronto, Ontario, Canada,55724,
175,UFC 130: Rampage vs. Hamill,5/28/2011,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12753,
176,The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,6/4/2011,Palms Casino Resort,Las Vegas, Nevada, U.S.,2053,
177,UFC 131: dos Santos vs. Carwin,6/11/2011,Rogers Arena,Vancouver, British Columbia, Canada,14685,
178,UFC Live: Kongo vs. Barry,6/26/2011,Consol Energy Center,Pittsburgh, Pennsylvania, U.S.,7792,
179,UFC 132: Cruz vs. Faber,7/2/2011,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13109,
180,UFC 133: Evans vs. Ortiz,8/6/2011,Wells Fargo Center,Philadelphia, Pennsylvania, U.S.,11583,
181,UFC Live: Hardy vs. Lytle,8/14/2011,Bradley Center,Milwaukee, Wisconsin, U.S.,6751,
182,UFC 134: Silva vs. Okami,8/27/2011,HSBC Arena,Rio de Janeiro,N/A, Brazil,14000,
183,UFC Fight Night: Shields vs. Ellenberger,9/17/2011,Ernest N. Morial Convention Center,New Orleans, Louisiana, U.S.,7112,
184,UFC 135: Jones vs. Rampage,9/24/2011,Pepsi Center,Denver, Colorado, U.S.,16344,
185,UFC Live: Cruz vs. Johnson,10/1/2011,Verizon Center,Washington, D.C., U.S.,9380,
186,UFC 136: Edgar vs. Maynard III,10/8/2011,Toyota Center,Houston, Texas, U.S.,16164,
187,UFC 137: Penn vs. Diaz,10/29/2011,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10313,
188,UFC 138: Leben vs. Muñoz,11/5/2011,LG Arena,Birmingham, England, U.K.,10823,
189,UFC on Fox: Velasquez vs. dos Santos,11/12/2011,Honda Center,Anaheim, California, U.S.,11607,
190,UFC 139: Shogun vs. Henderson,11/19/2011,HP Pavilion,San Jose, California, U.S.,13832,
191,The Ultimate Fighter: Team Bisping vs. Team Miller Finale,12/3/2011,Palms Casino Resort,Las Vegas, Nevada, U.S.,1909,
192,UFC 140: Jones vs. Machida,12/10/2011,Air Canada Centre,Toronto, Ontario, Canada,18303,
193,UFC 141: Lesnar vs. Overeem,12/30/2011,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13793,
194,UFC 142: Aldo vs. Mendes,1/14/2012,HSBC Arena,Rio de Janeiro,N/A, Brazil,10605,
195,UFC on FX: Guillard vs. Miller,1/20/2012,Bridgestone Arena,Nashville, Tennessee, U.S.,7728,
196,UFC on Fox: Evans vs. Davis,1/28/2012,United Center,Chicago, Illinois, U.S.,16963,
197,UFC 143: Diaz vs. Condit,2/4/2012,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,9015,
198,UFC on Fuel TV: Sanchez vs. Ellenberger,2/15/2012,Omaha Civic Auditorium,Omaha, Nebraska, U.S.,6283,
199,UFC 144: Edgar vs. Henderson,2/26/2012,Saitama Super Arena,Saitama,N/A, Japan,21000,
200,UFC on FX: Alves vs. Kampmann,3/3/2012,Allphones Arena,Sydney,N/A, Australia,14537,
201,UFC on Fuel TV: Gustafsson vs. Silva,4/14/2012,Ericsson Globe Arena,Stockholm,N/A, Sweden,15428,
202,UFC 145: Jones vs. Evans,4/21/2012,Philips Arena,Atlanta, Georgia, U.S.,15545,
203,UFC on Fox: Diaz vs. Miller,5/5/2012,IZOD Center,East Rutherford, New Jersey, U.S.,10788,
204,UFC on Fuel TV: Korean Zombie vs. Poirier,5/15/2012,Patriot Center,Fairfax, Virginia, U.S.,6668,
205,UFC 146: dos Santos vs. Mir,5/26/2012,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14674,
206,The Ultimate Fighter: Live Finale,6/1/2012,Palms Casino Resort,Las Vegas, Nevada, U.S.,1628,
207,UFC on FX: Johnson vs. McCall,6/8/2012,BankAtlantic Center,Sunrise, Florida, U.S.,6635,
208,UFC on FX: Maynard vs. Guida,6/22/2012,Revel Casino Hotel,Atlantic City, New Jersey, U.S.,4652,
209,UFC 147: Silva vs. Franklin II,6/23/2012,Mineirinho Arena,Belo Horizonte,N/A, Brazil,16643,
